Date,Petrol (USD),Diesel (USD),,,,,,,
10/7/2019,126.87,131.82,,,,,,,
10/14/2019,126.91,131.89,,,,,,,
10/21/2019,126.40,131.28,,,,,,,
10/28/2019,125.77,130.60,,,,,,,
11/4/2019,125.56,130.38,,,,,,,
11/11/2019,125.59,130.42,,,,,,,
11/18/2019,125.58,130.35,,,,,,,
11/25/2019,125.32,130.08,,,,,,,
12/2/2019,124.81,129.79,,,,,,,
12/9/2019,124.75,129.79,,,,,,,
12/16/2019,124.33,129.56,,,,,,,
12/23/2019,124.16,129.81,,,,,,,
12/30/2019,124.96,130.54,,,,,,,
1/6/2020,126.09,131.56,,,,,,,
1/13/2020,127.17,132.69,,,,,,,
1/20/2020,127.18,132.74,,,,,,,
1/27/2020,127.33,132.88,,,,,,,
2/3/2020,125.85,131.48,,,,,,,
2/10/2020,124.73,129.70,,,,,,,
2/17/2020,123.80,128.20,,,,,,,
2/24/2020,123.45,127.67,,,,,,,
3/2/2020,122.43,126.62,,,,,,,
3/9/2020,122.24,126.25,,,,,,,
3/16/2020,120.33,124.36,,,,,,,
3/23/2020,119.64,123.41,,,,,,,
3/30/2020,112.45,118.60,,,,,,,
4/6/2020,110.23,116.83,,,,,,,
4/13/2020,109.27,116.15,,,,,,,
4/20/2020,108.63,115.73,,,,,,,
